Brand,Model,Segment,Seats,Range(km),Efficiency(Wh/km),Weight(kg),0-100(sec),1-Stop Range(km),Battery(kWh),Fastcharge(kW),Towing(kg),Cargo Volume(L),Price/range(/km),Price($)
Peugeot,e-3008 73 kWh,C,5,380 km,192 Wh/km,2183 kg,8.8 sec,397 km,73.0 kWh,90 kW,1250 kg,588 L,€129 /km,"€48,750"
BYD,ATTO 2 64.8 kWh,B,5,310 km,187 Wh/km,1680 kg,7.9 sec,347 km,58.0 kWh,100 kW,unknown,400 L,€130 /km,"£34,950"
MG,ZS EV,B,5,220 km,193 Wh/km,1566 kg,8.2 sec,222 km,42.5 kWh,53 kW,0 kg,448 L,€141 /km,"€31,990"
Hyundai,IONIQ 5 Long Range AWD (MY22),C,5,385 km,192 Wh/km,2120 kg,5.1 sec,484 km,74.0 kWh,200 kW,1600 kg,551 L,€154 /km,"€59,200"
Volkswagen,ID.3 Pro S (MY26),C,5,475 km,166 Wh/km,1957 kg,7.1 sec,536 km,79.0 kWh,135 kW,0 kg,385 L,€88 /km,"€44,025"
Hyundai,IONIQ 5 N (MY24),C,5,390 km,205 Wh/km,2225 kg,3.4 sec,482 km,80.0 kWh,205 kW,0 kg,480 L,€191 /km,"€74,900"
Mercedes-Benz,CLA 200,D,5,400 km,145 Wh/km,2045 kg,7.5 sec,493 km,58.0 kWh,125 kW,1500 kg,506 L,€122 /km,"€49,421"
Volkswagen,ID.3 Pro,C,5,350 km,166 Wh/km,1815 kg,7.3 sec,378 km,58.0 kWh,82 kW,0 kg,385 L,€125 /km,"€39,995"
Tesla,Model 3 Long Range RWD,D,5,495 km,152 Wh/km,1825 kg,5.9 sec,586 km,75.0 kWh,124 kW,1000 kg,649 L,€102 /km,"€46,993"
Peugeot,e-5008 73 kWh,D,7,370 km,197 Wh/km,2260 kg,9.7 sec,388 km,73.0 kWh,90 kW,1000 kg,348 L,€140 /km,"€51,250"
Audi,A6 Sportback e-tron performance,E,5,600 km,158 Wh/km,2250 kg,5.4 sec,730 km,94.9 kWh,200 kW,2100 kg,529 L,€129 /km,"€75,600"
Volkswagen,ID.4 Pro (MY26),C,5,445 km,173 Wh/km,2139 kg,6.7 sec,490 km,77.0 kWh,120 kW,1000 kg,543 L,€99 /km,"€46,335"
Hyundai,IONIQ 6 Long Range AWD,D,5,440 km,168 Wh/km,2095 kg,5.1 sec,568 km,74.0 kWh,200 kW,1500 kg,416 L,€135 /km,"€61,100"
Kia,EV9 99.8 kWh AWD,F,7,435 km,221 Wh/km,2625 kg,6.0 sec,485 km,96.0 kWh,194 kW,2500 kg,385 L,€162 /km,"€68,990"
Tesla,Model Y Long Range AWD Launch Series (Juniper),D,5,455 km,165 Wh/km,2072 kg,4.3 sec,535 km,75.0 kWh,124 kW,1600 kg,971 L,€142 /km,"€61,970"
TOGG,T10X Long Range RWD,C,5,440 km,193 Wh/km,2173 kg,7.8 sec,469 km,85.0 kWh,115 kW,0 kg,441 L,€91 /km,"€40,118"
BMW,i4 eDrive40,D,5,515 km,158 Wh/km,2125 kg,5.6 sec,589 km,81.3 kWh,131 kW,1600 kg,470 L,€124 /km,"€60,500"
Renault,Scenic E-Tech EV87 220hp,C,5,480 km,181 Wh/km,1917 kg,7.9 sec,481 km,87.0 kWh,95 kW,1100 kg,545 L,€100 /km,"€48,900"
BMW,i7 xDrive60,F,5,510 km,199 Wh/km,2715 kg,4.7 sec,564 km,101.7 kWh,159 kW,2000 kg,500 L,€272 /km,"€139,900"
Škoda,Enyaq iV 60 (MY21-23),C,5,340 km,171 Wh/km,1965 kg,8.7 sec,361 km,58.0 kWh,82 kW,1000 kg,585 L,€129 /km,"€42,100"
BYD,HAN,E,5,475 km,180 Wh/km,2325 kg,3.9 sec,473 km,85.4 kWh,85 kW,0 kg,410 L,€146 /km,"€69,020"
Hyundai,IONIQ 5 Standard Range 2WD (MY21),C,5,295 km,183 Wh/km,1905 kg,8.5 sec,367 km,54.0 kWh,140 kW,750 kg,588 L,€162 /km,"€43,900"
Audi,Q6 SUV e-tron quattro,D,5,480 km,198 Wh/km,2400 kg,5.9 sec,567 km,94.9 kWh,200 kW,2400 kg,590 L,€161 /km,"€74,700"
Volkswagen,e-Up!,A,4,205 km,158 Wh/km,1248 kg,11.9 sec,188 km,32.3 kWh,30 kW,0 kg,250 L,€136 /km,"€29,995"
Polestar,2 Long Range Single Motor (MY26),D,5,475 km,166 Wh/km,2084 kg,6.2 sec,533 km,79.0 kWh,125 kW,1500 kg,448 L,€113 /km,"€52,690"
Opel,Frontera Electric 44 kWh,B,5,240 km,183 Wh/km,1589 kg,12.1 sec,249 km,43.8 kWh,60 kW,350 kg,460 L,€118 /km,"€28,990"
Smart,#5 Premium (MY25),D,5,465 km,202 Wh/km,2335 kg,6.5 sec,579 km,94.0 kWh,230 kW,1600 kg,702 L,€120 /km,"€55,400"
Honda,e:Ny1,B,5,335 km,185 Wh/km,1730 kg,7.6 sec,318 km,61.9 kWh,60 kW,0 kg,361 L,€130 /km,"€38,990"
Mini,Cooper SE,B,4,330 km,149 Wh/km,1680 kg,6.7 sec,356 km,49.2 kWh,75 kW,0 kg,200 L,€117 /km,"€36,900"
Voyah,Free 106 kWh,E,5,480 km,208 Wh/km,2415 kg,4.4 sec,433 km,100.0 kWh,80 kW,2000 kg,622 L,€138 /km,"€66,190"
Tesla,Model X Dual Motor,F,7,485 km,196 Wh/km,2415 kg,3.9 sec,539 km,95.0 kWh,140 kW,2250 kg,608 L,€242 /km,"€115,970"
Opel,Mokka-e 50 kWh,B,5,260 km,178 Wh/km,1598 kg,9.2 sec,285 km,46.3 kWh,78 kW,0 kg,310 L,€154 /km,"€40,650"
Dacia,Spring Electric 45,A,4,165 km,152 Wh/km,1012 kg,19.1 sec,151 km,25.0 kWh,29 kW,0 kg,300 L,€134 /km,"€22,550"
Tesla,Model S AWD (MY26),F,5,590 km,161 Wh/km,2167 kg,3.2 sec,667 km,95.0 kWh,140 kW,unknown,798 L,€188 /km,"€110,970"
Lucid,Gravity Grand Touring (MY26),F,7,625 km,197 Wh/km,2684 kg,3.6 sec,737 km,123.0 kWh,210 kW,2500 kg,1663 L,€189 /km,"€116,900"
Renault,Twingo Electric,A,4,135 km,158 Wh/km,1186 kg,12.6 sec,92 km,21.3 kWh,0 kW,0 kg,174 L,€193 /km,"€28,000"
Volvo,EX30 Single Motor (MY24-26),B,5,275 km,178 Wh/km,1840 kg,5.7 sec,306 km,49.0 kWh,80 kW,1000 kg,325 L,€137 /km,"€39,790"
Tesla,Model S 100D,F,5,485 km,196 Wh/km,2290 kg,4.3 sec,486 km,95.0 kWh,100 kW,0 kg,895 L,€223 /km,"€108,420"
Changan,Deepal S07 Standard,D,5,410 km,190 Wh/km,2148 kg,7.9 sec,386 km,78.0 kWh,70 kW,1500 kg,635 L,€111 /km,"€44,990"
BMW,iX xDrive60,E,5,525 km,208 Wh/km,2580 kg,4.6 sec,554 km,109.1 kWh,150 kW,2500 kg,500 L,€195 /km,"€99,900"
Peugeot,e-3008 97 kWh Long Range,C,5,500 km,194 Wh/km,2241 kg,8.7 sec,512 km,96.9 kWh,135 kW,1200 kg,588 L,€106 /km,"€52,850"
XPENG,G6 RWD Standard Range (MY24),D,5,365 km,179 Wh/km,2100 kg,6.9 sec,439 km,65.3 kWh,140 kW,1500 kg,571 L,€123 /km,"€43,600"
CUPRA,Tavascan Endurance,C,5,445 km,173 Wh/km,2178 kg,6.8 sec,467 km,77.0 kWh,120 kW,1000 kg,540 L,€120 /km,"€56,210"
Mercedes-Benz,EQA 250+,C,5,420 km,168 Wh/km,2050 kg,8.6 sec,414 km,70.5 kWh,90 kW,1500 kg,340 L,€126 /km,"€52,205"
Hyundai,INSTER Standard Range,A,4,255 km,153 Wh/km,1380 kg,11.7 sec,266 km,39.0 kWh,60 kW,unknown,280 L,€98 /km,"€23,900"
XPENG,G9 RWD Long Range (MY25),E,5,480 km,192 Wh/km,2365 kg,6.4 sec,619 km,92.2 kWh,330 kW,1500 kg,731 L,€135 /km,"€63,600"
Tesla,Model Y RWD (BYD LFP),D,5,345 km,165 Wh/km,1992 kg,6.9 sec,429 km,57.0 kWh,140 kW,1600 kg,971 L,€139 /km,"€45,970"
Volkswagen,ID.7 Tourer Pro S (MY26),E,5,520 km,165 Wh/km,2235 kg,6.7 sec,589 km,86.0 kWh,145 kW,1000 kg,605 L,€116 /km,"€59,895"
Leapmotor,C10 AWD 81.9 kWh,D,5,380 km,216 Wh/km,2264 kg,4.0 sec,405 km,81.9 kWh,120 kW,1500 kg,435 L,€118 /km,"€44,900"
Hongqi,E-HS9 99 kWh,F,5,370 km,243 Wh/km,2705 kg,4.9 sec,367 km,90.0 kWh,112 kW,1500 kg,438 L,€216 /km,"€79,995"
Toyota,C-HR+ 77 kWh AWD (MY26),C,5,385 km,187 Wh/km,2080 kg,5.2 sec,417 km,72.0 kWh,110 kW,1500 kg,416 L,€132 /km,"€50,995"
Audi,e-tron GT quattro,F,4,420 km,202 Wh/km,2350 kg,4.1 sec,529 km,85.0 kWh,216 kW,0 kg,490 L,€253 /km,"€106,050"
Zeekr,001 Performance AWD,E,5,480 km,196 Wh/km,2410 kg,3.8 sec,524 km,94.0 kWh,135 kW,2000 kg,539 L,€134 /km,"€64,490"
Mazda,6e Long Range 80 kWh,D,5,440 km,170 Wh/km,2037 kg,7.8 sec,421 km,75.0 kWh,70 kW,1500 kg,526 L,€107 /km,"€46,500"
KGM,Musso EV 4WD,N,5,360 km,225 Wh/km,2385 kg,8.0 sec,350 km,81.0 kWh,100 kW,1800 kg,907 L,€135 /km,"€48,490"
Volvo,EX90 Twin Motor (MY24-25),F,7,505 km,212 Wh/km,2754 kg,5.9 sec,546 km,107.0 kWh,150 kW,2200 kg,703 L,€187 /km,"€91,700"
Opel,Astra Electric,C,5,320 km,159 Wh/km,1736 kg,9.2 sec,343 km,50.8 kWh,85 kW,0 kg,352 L,€123 /km,"€41,990"
Polestar,5 Dual Motor,F,4,580 km,183 Wh/km,2462 kg,3.9 sec,698 km,106.0 kWh,210 kW,1800 kg,427 L,€197 /km,"€118,600"
Polestar,2 Long Range Single Motor,D,5,420 km,179 Wh/km,2069 kg,7.4 sec,451 km,75.0 kWh,108 kW,1500 kg,440 L,€124 /km,"€50,995"
Smart,EQ fortwo coupe,A,2,100 km,167 Wh/km,1095 kg,11.6 sec,71 km,16.7 kWh,0 kW,0 kg,260 L,€241 /km,"€21,940"
Zeekr,001 Long Range RWD,E,5,505 km,186 Wh/km,2275 kg,7.2 sec,547 km,94.0 kWh,135 kW,1500 kg,539 L,€118 /km,"€59,490"
Polestar,4 Long Range Single Motor,E,5,495 km,190 Wh/km,2305 kg,7.4 sec,533 km,94.0 kWh,135 kW,1500 kg,541 L,€133 /km,"€63,200"
Tesla,Model 3 Standard Range Plus (CATL LFP55),D,5,350 km,150 Wh/km,1825 kg,5.6 sec,412 km,52.5 kWh,95 kW,1000 kg,649 L,€136 /km,"€45,560"
Peugeot,e-208 (MY20-21),B,5,270 km,171 Wh/km,1530 kg,8.1 sec,294 km,46.3 kWh,78 kW,0 kg,265 L,€119 /km,"€30,450"
Tesla,Model X 100D,F,7,435 km,218 Wh/km,2533 kg,4.9 sec,434 km,95.0 kWh,100 kW,2250 kg,unknown,€259 /km,"€115,000"
BYD,SEAL 61.4 kWh RWD Comfort,D,5,365 km,168 Wh/km,2045 kg,7.5 sec,384 km,61.4 kWh,75 kW,750 kg,453 L,€121 /km,"€46,990"
Volkswagen,ID.3 Pro,C,5,350 km,166 Wh/km,1812 kg,9.6 sec,378 km,58.0 kWh,82 kW,0 kg,385 L,€104 /km,"€35,460"
Peugeot,e-208 (MY22),B,5,285 km,162 Wh/km,1530 kg,9.0 sec,311 km,46.3 kWh,78 kW,0 kg,265 L,€129 /km,"€39,100"
BYD,SEALION 7 82.5 kWh AWD Design,D,5,405 km,204 Wh/km,2415 kg,4.5 sec,431 km,82.5 kWh,115 kW,1500 kg,578 L,€138 /km,"€53,990"
Nissan,LEAF 40 kWh (MY18-22),C,5,235 km,166 Wh/km,1580 kg,7.9 sec,218 km,39.0 kWh,40 kW,0 kg,435 L,€136 /km,"€29,990"
Kia,EV6 GT,C,5,360 km,206 Wh/km,2200 kg,3.5 sec,449 km,74.0 kWh,200 kW,1800 kg,500 L,€198 /km,"€72,990"
BYD,DOLPHIN SURF 43.2 kWh Boost,B,4,270 km,160 Wh/km,1445 kg,12.1 sec,283 km,43.2 kWh,60 kW,0 kg,308 L,€95 /km,"€26,990"
MG,IM6 Long Range,D,5,500 km,193 Wh/km,2320 kg,5.4 sec,629 km,96.5 kWh,250 kW,unknown,697 L,€110 /km,"£47,995"
Ford,Explorer Extended Range AWD,C,5,440 km,180 Wh/km,2167 kg,5.3 sec,493 km,79.0 kWh,135 kW,1200 kg,536 L,€127 /km,"€52,430"
Tesla,Model S Long Range,F,5,530 km,179 Wh/km,2255 kg,3.8 sec,561 km,95.0 kWh,110 kW,0 kg,894 L,€155 /km,"€79,990"
Renault,Zoe ZE50 R135,B,5,310 km,168 Wh/km,1577 kg,9.5 sec,271 km,52.0 kWh,41 kW,0 kg,338 L,€117 /km,"€37,840"
CUPRA,Tavascan VZ,C,5,425 km,181 Wh/km,2273 kg,5.5 sec,446 km,77.0 kWh,120 kW,1200 kg,540 L,€144 /km,"€60,780"
Polestar,4 Long Range Dual Motor,E,5,485 km,194 Wh/km,2430 kg,3.8 sec,524 km,94.0 kWh,135 kW,2000 kg,541 L,€152 /km,"€71,200"
Opel,Frontera Electric 54 kWh,B,5,290 km,184 Wh/km,1610 kg,13.0 sec,298 km,53.5 kWh,70 kW,550 kg,460 L,€108 /km,"€31,190"
Hyundai,Kona Electric 39 kWh,B,5,245 km,160 Wh/km,1610 kg,9.9 sec,223 km,39.2 kWh,37 kW,0 kg,332 L,€149 /km,"€36,400"
Renault,Megane E-Tech EV60 220hp (TU2025),C,5,380 km,158 Wh/km,1719 kg,7.4 sec,410 km,60.0 kWh,87 kW,900 kg,440 L,€101 /km,"€40,990"
BYD,DOLPHIN 60.4 kWh (MY25),C,5,350 km,173 Wh/km,1733 kg,7.0 sec,354 km,60.5 kWh,75 kW,0 kg,345 L,€101 /km,"€34,640"
Audi,Q8 SUV e-tron 55 quattro,E,5,505 km,210 Wh/km,2585 kg,5.6 sec,515 km,106.0 kWh,144 kW,1800 kg,631 L,€171 /km,"€87,300"
BMW,iX xDrive45,E,5,470 km,202 Wh/km,2525 kg,5.1 sec,490 km,94.8 kWh,115 kW,2500 kg,500 L,€182 /km,"€83,500"
Volkswagen,ID.4 Pure (MY24-25),C,5,285 km,182 Wh/km,1978 kg,9.0 sec,318 km,52.0 kWh,87 kW,1000 kg,543 L,€141 /km,"€40,335"
Tesla,Model X Long Range,F,7,440 km,216 Wh/km,2505 kg,4.6 sec,463 km,95.0 kWh,110 kW,2250 kg,unknown,€206 /km,"€85,990"
Kia,EV4 Fastback 81.4 kWh,C,5,495 km,158 Wh/km,1900 kg,7.7 sec,518 km,78.0 kWh,105 kW,1000 kg,490 L,€93 /km,"€47,140"
Tesla,Model S 85D,F,5,420 km,192 Wh/km,2184 kg,4.4 sec,423 km,80.8 kWh,95 kW,unknown,895 L,€225 /km,"€92,800"
Renault,5 E-Tech 40kWh 120hp,B,5,260 km,154 Wh/km,1447 kg,9.0 sec,269 km,40.0 kWh,55 kW,500 kg,326 L,€103 /km,"€27,900"
Tesla,Model S 85,F,5,405 km,199 Wh/km,2175 kg,5.6 sec,408 km,80.8 kWh,95 kW,unknown,895 L,€220 /km,"€87,400"
Porsche,Macan 4 Electric (MY24-25),D,5,470 km,202 Wh/km,2405 kg,5.2 sec,563 km,95.0 kWh,200 kW,2000 kg,624 L,€180 /km,"€84,100"
XPENG,P7 RWD Long Range,E,5,495 km,167 Wh/km,2095 kg,6.7 sec,554 km,82.7 kWh,138 kW,0 kg,440 L,€102 /km,"€49,600"
MG,MG4 Electric 77 kWh,C,5,425 km,175 Wh/km,1826 kg,6.5 sec,454 km,74.4 kWh,110 kW,500 kg,363 L,€101 /km,"€45,990"
Renault,5 E-Tech 40kWh 95hp,B,5,260 km,154 Wh/km,1428 kg,12.0 sec,188 km,40.0 kWh,0 kW,500 kg,326 L,€94 /km,"€24,900"
Hyundai,IONIQ 5 Long Range 2WD (MY21),C,5,370 km,189 Wh/km,1985 kg,7.4 sec,459 km,70.0 kWh,185 kW,1600 kg,588 L,€130 /km,"€45,900"
Volkswagen,ID. Buzz LWB Pro,N,7,390 km,221 Wh/km,2628 kg,7.9 sec,432 km,86.0 kWh,145 kW,1000 kg,1340 L,€159 /km,"€62,719"
Tesla,Model S 90D,F,5,455 km,188 Wh/km,2223 kg,4.4 sec,449 km,85.5 kWh,90 kW,unknown,895 L,€230 /km,"€103,320"
Volkswagen,ID.7 Pro S (MY26),E,5,525 km,164 Wh/km,2226 kg,6.6 sec,600 km,86.0 kWh,145 kW,1000 kg,532 L,€113 /km,"€59,095"
BMW,i4 M50,D,5,450 km,181 Wh/km,2290 kg,3.9 sec,516 km,81.3 kWh,131 kW,1600 kg,470 L,€173 /km,"€72,100"
Tesla,Model S P100D,F,5,475 km,200 Wh/km,2316 kg,2.7 sec,477 km,95.0 kWh,100 kW,0 kg,895 L,€311 /km,"€145,420"
Mercedes-Benz,EQB 300 4MATIC,C,7,345 km,193 Wh/km,2165 kg,8.0 sec,357 km,66.5 kWh,100 kW,1700 kg,495 L,€174 /km,"€55,519"
Ford,Mustang Mach-E ER RWD (MY24),D,5,480 km,190 Wh/km,2161 kg,5.9 sec,489 km,91.0 kWh,115 kW,1500 kg,619 L,€120 /km,"€58,500"
Škoda,Elroq 50 (MY25),C,5,310 km,168 Wh/km,1946 kg,9.0 sec,351 km,52.0 kWh,90 kW,1000 kg,470 L,€111 /km,"€33,900"
Polestar,2,D,5,390 km,192 Wh/km,2198 kg,4.7 sec,419 km,75.0 kWh,108 kW,1500 kg,440 L,€150 /km,"€57,900"
Mercedes-Benz,EQE 350+ (MY24),E,5,555 km,173 Wh/km,2415 kg,6.5 sec,597 km,96.0 kWh,141 kW,750 kg,430 L,€136 /km,"€71,412"
Opel,Corsa-e (MY20-21),B,5,285 km,162 Wh/km,1530 kg,8.1 sec,311 km,46.3 kWh,78 kW,0 kg,267 L,€107 /km,"€29,900"
Kia,EV6 Long Range 2WD,C,5,455 km,176 Wh/km,2050 kg,7.3 sec,565 km,80.0 kWh,205 kW,1800 kg,542 L,€111 /km,"€49,990"
Volvo,EX30 Twin Motor Performance (MY24-26),B,5,340 km,191 Wh/km,1960 kg,3.6 sec,384 km,65.0 kWh,114 kW,1600 kg,325 L,€145 /km,"€51,690"
Mercedes-Benz,EQS SUV 450 4MATIC,F,7,530 km,223 Wh/km,2840 kg,6.1 sec,543 km,118.0 kWh,160 kW,1800 kg,645 L,€247 /km,"€114,609"
CUPRA,Born 170 kW - 79 kWh,C,5,470 km,168 Wh/km,1977 kg,7.1 sec,526 km,79.0 kWh,135 kW,0 kg,385 L,€92 /km,"€47,350"
Leapmotor,C10 RWD 81.9 kWh,D,5,410 km,200 Wh/km,2130 kg,6.6 sec,439 km,81.9 kWh,120 kW,1500 kg,435 L,€103 /km,"€41,900"
Honda,e,B,4,170 km,168 Wh/km,1588 kg,9.0 sec,169 km,28.5 kWh,32 kW,0 kg,171 L,€215 /km,"€33,850"
Peugeot,e-5008 97 kWh Long Range,D,7,485 km,200 Wh/km,2316 kg,9.6 sec,496 km,96.9 kWh,135 kW,1000 kg,348 L,€115 /km,"€55,350"
Porsche,Taycan,F,5,410 km,173 Wh/km,2125 kg,5.4 sec,517 km,71.0 kWh,183 kW,0 kg,491 L,€218 /km,"€88,399"
MG,ZS EV Standard Range,B,5,265 km,185 Wh/km,1645 kg,8.6 sec,257 km,49.0 kWh,50 kW,500 kg,448 L,€133 /km,"€33,990"
Volkswagen,ID.3 Pro (MY24-26),C,5,365 km,162 Wh/km,1815 kg,7.6 sec,422 km,59.0 kWh,110 kW,0 kg,385 L,€104 /km,"€36,425"
Opel,Corsa Electric 51 kWh (MY24),B,5,315 km,153 Wh/km,1544 kg,8.1 sec,341 km,48.1 kWh,80 kW,0 kg,267 L,€118 /km,"€38,045"
Leapmotor,B10 56.2 kWh,C,5,305 km,180 Wh/km,1855 kg,8.0 sec,350 km,55.0 kWh,100 kW,750 kg,430 L,€95 /km,"€29,900"
Tesla,Model 3 Long Range RWD,D,5,475 km,155 Wh/km,1801 kg,5.3 sec,583 km,73.5 kWh,163 kW,910 kg,542 L,€114 /km,"€54,018"
NIO,ET5 Long Range,E,5,500 km,180 Wh/km,2235 kg,4.0 sec,494 km,90.0 kWh,100 kW,1400 kg,386 L,€140 /km,"€68,500"
Nissan,e-NV200 Evalia,N,7,170 km,218 Wh/km,1667 kg,14.0 sec,157 km,37.0 kWh,40 kW,0 kg,2000 L,€248 /km,"€43,730"
Alpine,A290 Electric 220 hp,B,5,305 km,170 Wh/km,1554 kg,6.4 sec,316 km,52.0 kWh,70 kW,500 kg,326 L,€135 /km,"€41,900"
Smart,#5 Brabus (MY25),D,5,450 km,209 Wh/km,2453 kg,3.8 sec,561 km,94.0 kWh,230 kW,1600 kg,677 L,€136 /km,"€60,900"
Volkswagen,ID. Buzz Pro,N,5,345 km,223 Wh/km,2459 kg,10.2 sec,368 km,77.0 kWh,115 kW,1000 kg,1121 L,€183 /km,"€64,581"
MG,Marvel R,C,5,365 km,192 Wh/km,1885 kg,7.9 sec,344 km,70.0 kWh,82 kW,750 kg,507 L,€125 /km,"€46,990"
Tesla,Model X 75D,F,7,335 km,216 Wh/km,2427 kg,5.2 sec,336 km,72.5 kWh,80 kW,2250 kg,unknown,€283 /km,"€93,500"
Kia,e-Niro 64 kWh,C,5,375 km,171 Wh/km,1812 kg,7.8 sec,349 km,64.0 kWh,64 kW,0 kg,451 L,€108 /km,"€38,105"
Peugeot,e-208 51 kWh (MY24),B,5,315 km,153 Wh/km,1530 kg,8.2 sec,341 km,48.1 kWh,80 kW,0 kg,309 L,€124 /km,"€40,875"
XPENG,G9 RWD Long Range (MY24),E,5,480 km,194 Wh/km,2285 kg,6.4 sec,592 km,93.1 kWh,224 kW,1500 kg,731 L,€132 /km,"€63,600"
Ford,Capri Extended Range RWD,D,5,455 km,169 Wh/km,2098 kg,6.4 sec,477 km,77.0 kWh,120 kW,1000 kg,572 L,€112 /km,"€50,911"
Nissan,LEAF 40 kWh (MY23-25),C,5,235 km,166 Wh/km,1580 kg,7.9 sec,218 km,39.0 kWh,40 kW,0 kg,435 L,€134 /km,"€35,900"
XPENG,G6 AWD Performance (MY25),D,5,425 km,188 Wh/km,2295 kg,4.1 sec,548 km,80.0 kWh,290 kW,1500 kg,571 L,€124 /km,"€51,600"
Tesla,Model X Performance,F,7,470 km,209 Wh/km,2552 kg,3.1 sec,516 km,98.0 kWh,125 kW,2250 kg,unknown,€240 /km,"€107,990"
BMW,iX2 eDrive20,C,5,395 km,164 Wh/km,1960 kg,8.6 sec,427 km,64.7 kWh,93 kW,750 kg,525 L,€135 /km,"€49,400"
Audi,Q4 e-tron 40,C,5,325 km,182 Wh/km,2035 kg,8.1 sec,378 km,59.0 kWh,110 kW,1000 kg,520 L,€148 /km,"€46,150"
BMW,i4 M60 xDrive,D,5,465 km,174 Wh/km,2285 kg,3.7 sec,524 km,81.1 kWh,130 kW,1600 kg,470 L,€167 /km,"€72,900"
Tesla,Model S Long Range Plus,F,5,555 km,177 Wh/km,2255 kg,3.8 sec,620 km,98.0 kWh,125 kW,0 kg,894 L,€156 /km,"€81,990"
BYD,DOLPHIN SURF 30 kWh Active,B,4,190 km,158 Wh/km,1369 kg,11.1 sec,199 km,30.0 kWh,45 kW,0 kg,308 L,€118 /km,"€22,990"
Porsche,Taycan,F,5,495 km,166 Wh/km,2165 kg,4.8 sec,622 km,82.3 kWh,195 kW,0 kg,491 L,€207 /km,"€101,500"
Lexus,RZ 450e (MY23-25),D,5,350 km,183 Wh/km,2130 kg,5.6 sec,384 km,64.0 kWh,100 kW,750 kg,522 L,€183 /km,"€67,890"
Opel,Mokka Electric,B,5,285 km,178 Wh/km,1615 kg,9.0 sec,304 km,50.8 kWh,85 kW,0 kg,310 L,€124 /km,"€36,740"
Smart,#1 Pro+,B,5,335 km,185 Wh/km,1863 kg,6.7 sec,364 km,62.0 kWh,100 kW,1600 kg,338 L,€124 /km,"€42,490"
Tesla,Model 3 Performance,D,5,440 km,167 Wh/km,1931 kg,3.7 sec,543 km,73.5 kWh,163 kW,0 kg,542 L,€145 /km,"€61,480"
Mercedes-Benz,EQA 250,C,5,360 km,185 Wh/km,2040 kg,8.9 sec,368 km,66.5 kWh,100 kW,750 kg,340 L,€144 /km,"€47,541"
Nissan,LEAF 24 kWh (MY14-17),C,5,135 km,163 Wh/km,1505 kg,11.5 sec,144 km,22.0 kWh,36 kW,unknown,370 L,€213 /km,"€29,690"
Lucid,Air Sapphire (MY25-26),F,5,610 km,193 Wh/km,2495 kg,2.0 sec,693 km,118.0 kWh,190 kW,0 kg,910 L,€414 /km,"€250,000"
Fiat,600e,B,5,310 km,164 Wh/km,1595 kg,9.0 sec,333 km,50.8 kWh,79 kW,0 kg,360 L,€116 /km,"€36,490"
Toyota,C-HR+ 57.7 kWh (MY26),C,5,330 km,164 Wh/km,1845 kg,8.3 sec,369 km,54.0 kWh,85 kW,0 kg,416 L,€115 /km,"€37,995"
Jeep,Compass Electric 74 kWh,C,5,370 km,200 Wh/km,2198 kg,8.5 sec,387 km,74.0 kWh,90 kW,1000 kg,550 L,€127 /km,"€50,400"
Tesla,Model S Performance,F,5,535 km,183 Wh/km,2307 kg,2.8 sec,595 km,98.0 kWh,125 kW,0 kg,894 L,€194 /km,"€98,990"
Kia,EV6 Long Range AWD,C,5,400 km,185 Wh/km,2090 kg,5.2 sec,505 km,74.0 kWh,200 kW,1600 kg,500 L,€146 /km,"€55,980"
Jaguar,I-Pace EV400,D,5,380 km,223 Wh/km,2226 kg,4.8 sec,354 km,84.7 kWh,85 kW,750 kg,532 L,€235 /km,"€92,400"
Volkswagen,ID.3 Pro S (MY24-25),C,5,465 km,166 Wh/km,1957 kg,7.1 sec,511 km,77.0 kWh,120 kW,0 kg,385 L,€92 /km,"€47,595"
Volvo,XC40 Recharge Pure Electric (MY23),C,5,330 km,203 Wh/km,2023 kg,7.4 sec,355 km,67.0 kWh,116 kW,1500 kg,450 L,€146 /km,"€45,080"
Hyundai,Kona Electric 48 kWh,B,5,295 km,164 Wh/km,1690 kg,8.8 sec,288 km,48.4 kWh,50 kW,300 kg,493 L,€135 /km,"€41,990"
Audi,A6 Avant e-tron quattro,E,5,560 km,169 Wh/km,2370 kg,4.5 sec,677 km,94.9 kWh,200 kW,2100 kg,529 L,€150 /km,"€81,450"
BMW,i4 eDrive35,D,5,430 km,156 Wh/km,2065 kg,6.0 sec,487 km,67.0 kWh,95 kW,1600 kg,470 L,€134 /km,"€56,500"
Tesla,Model S Plaid (MY26),F,5,565 km,168 Wh/km,2272 kg,2.4 sec,639 km,95.0 kWh,140 kW,unknown,798 L,€214 /km,"€120,970"
BMW,iX2 xDrive30,C,5,385 km,168 Wh/km,2095 kg,5.6 sec,414 km,64.7 kWh,93 kW,1200 kg,525 L,€159 /km,"€56,500"
Smart,#1 Brabus,B,5,325 km,191 Wh/km,1975 kg,3.9 sec,357 km,62.0 kWh,100 kW,1600 kg,328 L,€152 /km,"€48,990"
Volkswagen,ID.3 GTX (MY24-26),C,5,470 km,168 Wh/km,1985 kg,5.9 sec,526 km,79.0 kWh,135 kW,0 kg,385 L,€106 /km,"€47,225"
